Name,ASIN,Best Sellers Rank,Date First Available,Item Dimensions LxWxH,Net Quantity,Generic Name,No.of ratings,Price,Rating Out of 5
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",B09WQYFLRX,"#4 in Electronics (See Top 100 in Electronics)
#1 in Smartphones",1 January 2023,7.6 x 0.9 x 16.4 Centimeters,1 Piece,Smartphone,109634.0,18999.0,4.3
"Xiaomi Redmi 10 Power (Sporty Orange, 8GB RAM, 128GB Storage)",B09Y5WPXGW,"#131 in Electronics (See Top 100 in Electronics)
#19 in Smartphones",18 April 2022,17 x 0.9 x 7.7 Centimeters,203 Grams,,330.0,11999.0,4.0
"Vivo Y02 (Orchid Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",B07WJV4JT6,"#3,088 in Electronics (See Top 100 in Electronics)
#228 in Smartphones",1 December 2022,16.4 x 7.6 x 0.8 Centimeters,1 Count,Mobile,15.0,8999.0,3.7
"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers|Get 2 Months of YouTube Premium Free!",B09LHYZ3GJ,"#1,507 in Electronics (See Top 100 in Electronics)
#143 in Smartphones",2 October 2021,16.4 x 0.9 x 7.6 Centimeters,1 Count,Smartphone,32802.0,16999.0,4.1
"Xiaomi Redmi 10 Power (Sporty Orange, 8GB RAM, 128GB Storage)",B09Y5WPXGW,"#131 in Electronics (See Top 100 in Electronics)
#19 in Smartphones",18 April 2022,17 x 0.9 x 7.7 Centimeters,203 Grams,,330.0,11999.0,4.0
"Vivo Y02 (Orchid Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",B07WJV4JT6,"#3,088 in Electronics (See Top 100 in Electronics)
#228 in Smartphones",1 December 2022,16.4 x 7.6 x 0.8 Centimeters,1 Count,Mobile,15.0,8999.0,3.7
"(Renewed) Nokia 215 4G Dual SIM 4G Phone with Long Battery Life, Multiplayer Games, Wireless FM Radio and Durable Ergonomic Design – Black",B08QGJGD94,"#24,022 in Electronics (See Top 100 in Electronics)
#198 in Basic Mobiles",13 December 2020,12.5 x 5.1 x 1.4 Centimeters,1 Count,4G Feature Phone,255.0,N.A,3.4
"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers|Get 2 Months of YouTube Premium Free!",B09LHYZ3GJ,"#1,507 in Electronics (See Top 100 in Electronics)
#143 in Smartphones",2 October 2021,16.4 x 0.9 x 7.6 Centimeters,1 Count,Smartphone,32802.0,16999.0,4.1
"Nokia 215 4G Dual SIM 4G Keypad Phone with Long Battery Life, Multiplayer Games, Wireless FM Radio and Durable Ergonomic Design | Black",B08MVYVBD6,"#1,247 in Electronics (See Top 100 in Electronics)
#19 in Basic Mobiles",4 November 2020,12.5 x 5.1 x 1.4 Centimeters,1 Count,4G Feature Phone,6315.0,3099.0,3.5
"Nokia 215 4G Dual SIM 4G Keypad Phone with Long Battery Life, Multiplayer Games, Wireless FM Radio and Durable Ergonomic Design | Black",B08MVYVBD6,"#1,247 in Electronics (See Top 100 in Electronics)
#19 in Basic Mobiles",4 November 2020,12.5 x 5.1 x 1.4 Centimeters,1 Count,4G Feature Phone,6315.0,3099.0,3.5
